unit,sex,age,acl00,geo,TIME_PERIOD,OBS_VALUE
PTP_RT,M,Y20-24,AC0,BE,2000,100.0
PTP_RT,M,Y20-24,AC0,BE,2010,100
PTP_TIME,M,Y20-24,AC0,BE,2000,10:47
PTP_TIME,M,Y20-24,AC0,BE,2010,11:23
TIME_SP,M,Y20-24,AC0,BE,2000,10:47
TIME_SP,M,Y20-24,AC0,BE,2010,11:23
PTP_RT,T,Y20-24,AC0,BE,2000,100.0
PTP_RT,T,Y20-24,AC0,BE,2010,100
PTP_TIME,T,Y20-24,AC0,BE,2000,11:09
PTP_TIME,T,Y20-24,AC0,BE,2010,11:31
TIME_SP,T,Y20-24,AC0,BE,2000,11:09
TIME_SP,T,Y20-24,AC0,BE,2010,11:31
PTP_RT,F,Y20-24,AC0,BG,2000,100.0
